date,time,symbol,option_symbol,side,entry,exit_price,qty,lot_qty,pnl,pnl_pct,reason,sl_pct,trail_pct,atr_trail_pct,profit_trail_pct,min_trail_pct_reached,option_atr,peak_profit,peak_profit_pct,held_secs,equity_after,mode,row_type,partial_realized_pnl,pnl_total,ai_entry_score,entry_analyzer_score,entry_grade,regime,scalp_mode,nifty_entry,nifty_exit,entry_verdict_json,exit_signals_json
2026-07-09,10:15:07,NIFTY,NIFTY2671424050CE,CE,142.1,142.05,10,650,-32.5,-0.04,trail,3.0,2.5,5.0,,2.5,0.105,520.0,0.56,3,99967.5,demo,full,0.0,-32.5,,,,unknown,manual,24046.65,24046.2,,{}
2026-07-09,10:16:37,NIFTY,NIFTY2671424050CE,CE,142.7,143.05,10,650,227.5,0.25,timeout,2.0,2.5,5.0,,2.5,0.12,1495.0,1.61,35,100195.0,demo,full,0.0,227.5,,,,unknown,manual,24048.7,24048.9,,{}
2026-07-09,10:17:59,NIFTY,NIFTY2671424050CE,CE,141.5,142.0,10,650,325.0,0.35,nifty_reversal,3.0,2.5,5.0,,2.5,0.23,325.0,0.35,0,100520.0,demo,full,0.0,325.0,,,,unknown,manual,24044.65,24043.1,,{}
2026-07-09,10:18:12,NIFTY,NIFTY2671424050PE,PE,142.75,143.1,10,650,227.5,0.25,nifty_reversal,3.0,2.5,5.0,,2.5,0.2,227.5,0.25,0,100747.5,demo,full,0.0,227.5,,,,unknown,manual,24048.9,24050.45,,{}
2026-07-09,10:18:48,NIFTY,NIFTY2671424050CE,CE,140.8,140.5,11,715,-214.5,-0.21,trail,3.0,2.5,5.0,,2.5,0.14,143.0,0.14,0,100533.0,demo,full,0.0,-214.5,,,,unknown,manual,24043.5,24043.75,,{}
2026-07-09,10:19:13,NIFTY,NIFTY2671424050CE,CE,139.5,138.65,11,715,-607.75,-0.61,nifty_reversal,3.0,2.5,5.0,,2.5,0.075,0.0,0.0,1,99925.25,demo,full,0.0,-607.75,,,,unknown,manual,24041.45,24040.25,,"{""reversal_pattern"": 0.6}"
2026-07-09,10:19:23,NIFTY,NIFTY2671424050CE,CE,138.9,138.2,5,325,-227.5,-0.5,nifty_reversal,3.0,2.5,5.0,,2.5,0.04,0.0,0.0,2,99697.75,demo,full,0.0,-227.5,,,,unknown,manual,24037.4,24035.45,,{}
2026-07-09,10:20:46,NIFTY,NIFTY2671424050CE,CE,140.65,141.0,10,650,227.5,0.25,nifty_reversal,3.0,2.5,5.0,,2.5,0.205,227.5,0.25,0,100227.5,demo,full,0.0,227.5,,,,unknown,manual,24042.2,24041.1,,{}
2026-07-09,10:21:00,NIFTY,NIFTY2671424050PE,PE,145.7,145.5,10,650,-130.0,-0.14,trail,3.0,2.5,5.0,,2.5,0.08,162.5,0.17,1,100097.5,demo,full,0.0,-130.0,,,,unknown,manual,24044.5,24045.15,,{}
2026-07-09,10:21:24,NIFTY,NIFTY2671424050PE,PE,140.8,140.6,10,650,-130.0,-0.14,trail,3.0,2.5,5.0,,2.5,0.07,162.5,0.18,0,99967.5,demo,full,0.0,-130.0,,,,unknown,manual,24054.9,24053.6,,{}
2026-07-09,10:22:03,NIFTY,NIFTY2671424050PE,PE,144.5,144.6,5,325,32.5,0.07,nifty_reversal,3.0,2.5,5.0,,2.5,0.02,48.75,0.1,1,100000.0,demo,full,0.0,32.5,,,,unknown,manual,24044.0,24045.3,,{}
